time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.11664623169e-08,-1.0071124769e-07,10.0056918393,6.28293708884,6.28314669747,0.0,3.22767282295e-06,-1.57677249576e-05,0.189714803082,-0.0140584046945,-0.00196270454152,0.0,465.83334590861824,465.6798858132015,463.78151578284695,462.6762843777516
0.12000000000000001,1.84972225703e-06,-1.0900814069e-05,10.0244750457,6.28232161054,6.28280273419,0.0,8.43014634315e-05,-0.000433335121756,0.436330046083,-0.00357323716788,-0.014605015998,0.0,481.93038701228744,480.97412510534514,480.63108487514575,481.4250831749278
0.18,1.87446437718e-05,-5.65110961842e-05,10.0547037878,6.28172344665,6.28191331109,0.0,0.000573449553458,-0.00112536055882,0.571236257644,-0.0275537702472,-0.0152647327885,0.0,448.39337238162307,448.33989047702875,448.72652632086925,446.7759758533831
0.23999999999999996,8.40148350849e-05,-0.000163048310693,10.0935008255,6.28026036436,6.28174918135,0.0,0.00165300152253,-0.00259565114549,0.721914378876,-0.0187004886162,0.0147942123852,0.0,452.0634914224719,454.47883355185326,452.48272819830987,453.19470594190517
0.3,0.000211439121033,-0.000388240380441,10.1415513688,6.27965902288,6.28285433538,0.0,0.00248325373198,-0.00500122096292,0.879661745786,0.00330020666049,0.0248295843269,0.0,454.92245938055953,455.72513349503686,454.6143548432561,456.3736396840133
0.36000000000000004,0.000361769629186,-0.000766637089252,10.1991381354,6.27943060729,0.000981453663026,0.0,0.00237151203474,-0.00760611887737,1.03976494015,-0.0244297985995,0.0151880838216,0.0,456.85803687580324,456.0887412020617,457.3754293100717,455.1619027718474
0.4200000000000001,0.000483092910906,-0.00129640758992,10.2621602376,6.27823630046,0.00173105626039,0.0,0.00159702779155,-0.0101718302354,1.06095163177,-0.0121193955015,0.00647083705176,0.0,412.01908451304826,411.2476534126882,412.32188059262126,413.40786848007536
0.48000000000000015,0.000535329387925,-0.0020288203305,10.3321588646,6.27735367303,0.00161648009242,0.0,0.000115663691471,-0.0143355100918,1.27212443168,-0.0204740461351,-0.029384809149,0.0,473.3185019710928,470.5513026094371,472.3643327020131,471.719806702521
0.5400000000000001,0.000514484452632,-0.00301944622387,10.4123972486,6.27631679288,6.28297973084,0.0,-0.000619525034765,-0.0188043358208,1.40233692002,-0.0115586582962,-0.0324090620994,0.0,448.1096133620216,447.86343457216606,447.6431586494776,448.3680525498562
0.6000000000000002,0.000487329368053,-0.00427919749537,10.4977739872,6.27623022735,6.28161063204,0.0,-0.000135573583088,-0.0232185227084,1.44350273696,0.0135402039569,-0.00843036142921,0.0,418.56332175174913,420.644609049241,418.9234963345879,421.10010345496084
0.6600000000000003,0.000513101446091,-0.00581208076041,10.5872703936,6.27708629849,6.28144054966,0.0,0.00102683062607,-0.0277921247448,1.53958661731,0.0156847719423,0.00649964328864,0.0,436.37400538244583,437.61846742981044,438.3709314761017,438.54897695480605
0.7200000000000003,0.000605667301954,-0.00759123670909,10.6809085033,6.27847698454,6.28241853106,0.0,0.00199006234434,-0.031400945479,1.581627057,0.0350411241997,0.0309267433216,0.0,418.80509820256106,420.924141516819,420.28635425412443,421.96060679335943
0.7800000000000004,0.000733504382692,-0.00956752031134,10.7794976609,6.28059343912,0.00157087830867,0.0,0.00204644541291,-0.0342521863414,1.70450393489,0.0357363501609,0.0514990533081,0.0,445.65007021369354,447.32902976365745,446.57920128803977,446.6364346200239
0.8400000000000004,0.000810894046735,-0.0116691417758,10.8853366166,6.28227833613,0.0044903061748,0.0,0.00021804424469,-0.0355925761713,1.82327900499,0.00479882981041,0.0422647750483,0.0,446.13569066809157,445.38257296742296,446.80338613472566,444.27434573977933
0.9000000000000005,0.000717614757559,-0.0138227106222,10.9984868568,6.2828499974,0.0071926199831,0.0,-0.00360365522737,-0.0361460355704,1.94818973059,0.0176164196659,0.0500760719787,0.0,447.6775503778488,448.3137944812264,447.3943707501378,448.43658372957526
0.9600000000000005,0.000353095552155,-0.0159942823192,11.1168642883,0.000489013416935,0.00987183139049,0.0,-0.00881789106326,-0.0361494570271,1.99763726308,0.00456381569569,0.0306759120651,0.0,424.9931539693965,423.3283608458644,425.06388707033915,423.94380621318214
1.0200000000000005,-0.000407735729069,-0.0181511481726,11.2417653394,0.000599214146093,0.0115761819379,0.0,-0.0167390834426,-0.0357239967881,2.16542653112,-0.00426807383156,0.0234287877136,0.0,461.8126975702137,461.24092637524564,462.2218734890969,461.5253358441751
1.0800000000000005,-0.00168267508964,-0.0202820533762,11.3768908223,0.000313142451969,0.0125805338773,0.0,-0.025896898719,-0.0353368990067,2.33841697651,-0.00578670953414,-0.00204839770882,0.0,464.86857592856364,462.8679292357462,463.99912830117046,463.8799840251757
1.1400000000000006,-0.00354414099327,-0.0223963054513,11.5240389376,6.28285070507,0.0124035378948,0.0,-0.0361278629293,-0.0351952557165,2.56603811756,-0.0233985482776,-0.00481701307583,0.0,481.01296154292595,480.8033192374594,481.18222741718347,479.84727944859844
1.2000000000000006,-0.00602724838741,-0.0245227723736,11.6858798843,6.28178965334,0.0121524805076,0.0,-0.0466009009502,-0.0358393660499,2.82805035882,-0.00818492132152,-0.00294787915379,0.0,491.5405274043565,491.6791005454744,490.9076819690134,492.0353258645422
